person_id,timestamp,event
u_00028,2026-04-20 00:00:19.544337337+00:00,tour_finish
u_00003,2026-04-20 00:00:36.147927573+00:00,credits_used
u_00017,2026-04-20 00:01:19.238304992+00:00,file_upload
u_00085,2026-04-20 00:03:40.903430567+00:00,ai_block_run
u_00136,2026-04-20 00:06:11.377422987+00:00,block_create
u_00003,2026-04-20 00:06:25.090037120+00:00,block_create
u_00142,2026-04-20 00:07:15.683527656+00:00,block_create
u_00136,2026-04-20 00:08:06.131160572+00:00,ai_block_run
u_00028,2026-04-20 00:09:38.655308446+00:00,tour_finish
u_00015,2026-04-20 00:12:37.674788972+00:00,ai_block_run
u_00085,2026-04-20 00:15:06.385587781+00:00,credits_used
u_00146,2026-04-20 00:17:55.647291452+00:00,agent_tool_call
u_00019,2026-04-20 00:20:05.971723651+00:00,ai_block_run
u_00019,2026-04-20 00:22:03.765885909+00:00,tour_finish
u_00083,2026-04-20 00:27:00.796108142+00:00,agent_tool_call
u_00080,2026-04-20 00:27:35.059317740+00:00,block_create
u_00015,2026-04-20 00:29:09.796965422+00:00,block_create
u_00038,2026-04-20 00:31:02.050987699+00:00,block_create
u_00043,2026-04-20 00:39:58.957242942+00:00,credits_used
u_00015,2026-04-20 00:43:05.261077478+00:00,block_create
u_00003,2026-04-20 00:43:46.761433874+00:00,block_run
u_00044,2026-04-20 00:46:10.187101745+00:00,agent_tool_call
u_00021,2026-04-20 00:47:16.891083994+00:00,block_create
u_00123,2026-04-20 00:47:39.055627618+00:00,block_create
u_00131,2026-04-20 00:50:14.242171165+00:00,block_run
u_00101,2026-04-20 00:52:51.825060845+00:00,deploy_run
u_00043,2026-04-20 00:53:54.355831319+00:00,ai_block_run
u_00057,2026-04-20 00:55:36.188758091+00:00,block_create
u_00043,2026-04-20 00:57:10.354803423+00:00,block_create
u_00015,2026-04-20 01:06:34.192769299+00:00,agent_tool_call
u_00015,2026-04-20 01:07:18.356152745+00:00,block_run
u_00015,2026-04-20 01:09:26.537761830+00:00,block_create
u_00099,2026-04-20 01:15:10.015069784+00:00,ai_block_run
u_00094,2026-04-20 01:18:18.937668554+00:00,agent_tool_call
u_00015,2026-04-20 01:21:56.523218860+00:00,subscription_upgraded
u_00121,2026-04-20 01:22:46.922968683+00:00,ai_block_run
u_00148,2026-04-20 01:22:54.229844587+00:00,block_create
u_00015,2026-04-20 01:33:49.526982072+00:00,credits_used
u_00015,2026-04-20 01:35:10.668772589+00:00,credits_used
u_00099,2026-04-20 01:40:23.410701322+00:00,block_run
u_00039,2026-04-20 01:45:59.930920974+00:00,credits_used
u_00149,2026-04-20 01:46:41.018699891+00:00,agent_tool_call
u_00003,2026-04-20 01:52:00.643624545+00:00,block_run
u_00000,2026-04-20 01:52:00.721873539+00:00,block_run
u_00015,2026-04-20 01:53:58.696459596+00:00,block_run
u_00121,2026-04-20 01:57:05.128777937+00:00,tour_finish
u_00015,2026-04-20 01:57:52.519888435+00:00,block_create
u_00118,2026-04-20 02:04:05.841589141+00:00,block_run
u_00088,2026-04-20 02:04:31.756637401+00:00,tour_finish
u_00120,2026-04-20 02:10:53.771462995+00:00,credits_used
u_00065,2026-04-20 02:24:30.207299109+00:00,credits_used
u_00111,2026-04-20 02:33:23.713433766+00:00,file_upload
u_00000,2026-04-20 02:34:07.184309691+00:00,block_run
u_00052,2026-04-20 02:36:35.302870872+00:00,block_create
u_00015,2026-04-20 02:39:25.169653437+00:00,deploy_run
u_00052,2026-04-20 02:42:25.074490345+00:00,credits_used
u_00099,2026-04-20 02:43:18.806688445+00:00,deploy_run
u_00052,2026-04-20 02:44:53.939400161+00:00,credits_used
u_00148,2026-04-20 02:46:04.627851484+00:00,credits_used
u_00016,2026-04-20 02:48:50.059269113+00:00,block_create
u_00121,2026-04-20 02:49:00.016155984+00:00,block_run
u_00021,2026-04-20 02:55:12.932508574+00:00,block_create
u_00016,2026-04-20 02:55:39.657093148+00:00,block_run
u_00128,2026-04-20 02:56:38.207431748+00:00,block_run
u_00121,2026-04-20 03:03:17.764284694+00:00,tour_finish
u_00016,2026-04-20 03:06:56.498988596+00:00,ai_block_run
u_00063,2026-04-20 03:09:41.418408682+00:00,ai_block_run
u_00121,2026-04-20 03:10:38.839330579+00:00,ai_block_run
u_00088,2026-04-20 03:11:17.265219891+00:00,agent_tool_call
u_00015,2026-04-20 03:15:18.760653776+00:00,agent_tool_call
u_00080,2026-04-20 03:17:52.348243151+00:00,credits_used
u_00015,2026-04-20 03:17:58.753440362+00:00,ai_block_run
u_00015,2026-04-20 03:18:32.304523111+00:00,block_run
u_00015,2026-04-20 03:21:58.259145061+00:00,block_create
u_00080,2026-04-20 03:22:54.172606534+00:00,block_create
u_00121,2026-04-20 03:29:28.896383491+00:00,ai_block_run
u_00016,2026-04-20 03:32:25.221786024+00:00,agent_tool_call
u_00090,2026-04-20 03:33:11.578614274+00:00,file_upload
u_00003,2026-04-20 03:34:39.206608559+00:00,file_upload
u_00061,2026-04-20 03:40:38.601872022+00:00,ai_block_run
u_00023,2026-04-20 03:41:00.678613291+00:00,ai_block_run
u_00088,2026-04-20 03:45:30.454013100+00:00,block_run
u_00015,2026-04-20 03:52:19.131078498+00:00,deploy_run
u_00043,2026-04-20 03:53:16.807422892+00:00,ai_block_run
u_00105,2026-04-20 03:54:08.130259607+00:00,ai_block_run
u_00041,2026-04-20 03:57:26.891349405+00:00,block_run
u_00149,2026-04-20 04:10:21.995651939+00:00,block_run
u_00041,2026-04-20 04:15:39.840846396+00:00,ai_block_run
u_00041,2026-04-20 04:17:52.498249328+00:00,block_create
u_00056,2026-04-20 04:18:31.368407725+00:00,block_create
u_00085,2026-04-20 04:18:50.404786451+00:00,block_create
u_00126,2026-04-20 04:20:00.724433303+00:00,block_create
u_00003,2026-04-20 04:21:21.014247792+00:00,ai_block_run
u_00043,2026-04-20 04:26:39.709632789+00:00,credits_used
u_00078,2026-04-20 04:30:16.747887562+00:00,tour_finish
u_00054,2026-04-20 04:41:40.489549336+00:00,credits_used
u_00088,2026-04-20 04:45:13.414009491+00:00,tour_finish
u_00011,2026-04-20 04:45:40.766393866+00:00,credits_used
u_00072,2026-04-20 04:45:40.922251011+00:00,block_create
u_00121,2026-04-20 04:46:53.019433160+00:00,block_create
u_00094,2026-04-20 04:47:04.067957527+00:00,block_run
u_00137,2026-04-20 04:54:54.566277500+00:00,agent_tool_call
u_00060,2026-04-20 04:55:03.590700204+00:00,block_create
u_00077,2026-04-20 04:56:29.877195593+00:00,block_create
u_00015,2026-04-20 04:58:28.345969988+00:00,ai_block_run
u_00015,2026-04-20 04:58:44.588021409+00:00,agent_tool_call
u_00015,2026-04-20 04:59:47.798622587+00:00,agent_tool_call
u_00015,2026-04-20 05:01:02.681516186+00:00,block_run
u_00029,2026-04-20 05:01:11.396422978+00:00,block_create
u_00053,2026-04-20 05:02:26.628778667+00:00,agent_tool_call
u_00090,2026-04-20 05:03:06.603804012+00:00,file_upload
u_00011,2026-04-20 05:06:06.127092530+00:00,ai_block_run
u_00022,2026-04-20 05:06:30.112178918+00:00,subscription_upgraded
u_00017,2026-04-20 05:07:29.000135733+00:00,ai_block_run
u_00016,2026-04-20 05:07:46.050806873+00:00,block_create
u_00006,2026-04-20 05:11:42.615613996+00:00,block_run
u_00085,2026-04-20 05:13:33.608633104+00:00,agent_tool_call
u_00134,2026-04-20 05:16:36.551783125+00:00,ai_block_run
u_00015,2026-04-20 05:21:35.597718729+00:00,block_create
u_00142,2026-04-20 05:26:26.037350787+00:00,ai_block_run
u_00053,2026-04-20 05:31:32.444797048+00:00,block_create
u_00105,2026-04-20 05:39:50.005860778+00:00,ai_block_run
u_00140,2026-04-20 05:42:11.203890804+00:00,block_run
u_00041,2026-04-20 05:43:40.070924253+00:00,tour_finish
u_00060,2026-04-20 05:44:45.322514710+00:00,block_run
u_00068,2026-04-20 05:49:04.737009725+00:00,block_create
u_00027,2026-04-20 05:52:45.522153006+00:00,block_create
u_00088,2026-04-20 05:56:56.872528032+00:00,exception
u_00122,2026-04-20 05:58:40.407848628+00:00,exception
u_00133,2026-04-20 06:00:24.475134062+00:00,exception
u_00052,2026-04-20 06:00:41.179918873+00:00,block_create
