person_id,t1,t2,t3,t4,t5,t6,t7,t8,t_dg,t_cn,last_ts,upgraded,t_atrisk_upg,t_churned_upg,final_stage
7552cdff-4112-5b9d-8c17-62861efed4ec,,2025-09-01 07:01:11.708000+00:00,2025-09-01 18:06:16.980000+00:00,2025-09-01 16:56:24.151000+00:00,2025-09-01 16:56:09.446000+00:00,,,,,,2025-09-01 18:47:05.549000+00:00,False,,,9.AtRisk@WroteCode
73a33a62-8cd1-5809-95be-d89650e3bd9c,2025-09-01 09:22:49.773000+00:00,2025-09-01 09:22:49.868000+00:00,,,,,,,,,2025-09-01 13:14:59.264000+00:00,False,,,2.Exploring
0a790ce0-13bf-598e-9e5f-fb358e772099,,2025-09-01 15:51:39.944000+00:00,,,,,,,,,2025-09-03 06:56:08.863000+00:00,False,,,2.Exploring
bf74b49f-4b18-5159-bd56-155abf2cc4ac,2025-09-01 11:49:45.232000+00:00,2025-09-01 11:49:45.459000+00:00,,2025-09-01 11:50:38.979000+00:00,2025-09-01 11:52:19.669000+00:00,,,,,,2025-09-01 11:52:36.374000+00:00,False,,,9.AtRisk@WroteCode
21771d94-6ac2-5883-a71d-8a90ac3d31ba,2025-09-01 19:30:54.982000+00:00,2025-09-01 19:30:55.161000+00:00,,,2025-09-01 19:31:53.344000+00:00,,,,,,2025-09-01 19:32:26.576000+00:00,False,,,9.AtRisk@WroteCode
da141d24-c79a-5714-ab9e-9203fd06ce58,2025-09-01 20:30:33.369000+00:00,2025-09-01 20:30:33.421000+00:00,2025-09-02 06:10:20.228000+00:00,2025-09-01 20:31:51.667000+00:00,2025-09-01 20:31:15.024000+00:00,,,,,,2025-09-19 09:38:05.409000+00:00,False,,,9.AtRisk@WroteCode
242dfdb3-0202-53cc-a625-de71dc0899f3,2025-09-01 00:29:07.495000+00:00,2025-09-01 00:29:08.046000+00:00,2025-09-01 00:32:11.130000+00:00,2025-09-01 00:32:11.180000+00:00,,,,,,,2025-09-02 21:36:48.265000+00:00,False,,,9.AtRisk@UsedAI
a4e2b23b-58b5-540d-8dea-e2b83fb95b38,,,,,,,,,,,2025-09-02 07:19:31.569000+00:00,False,,,0.NoEvent
c4d11e95-defa-55c2-bccd-6f62a93d389e,2025-09-01 14:52:03.963000+00:00,2025-09-01 14:52:04.072000+00:00,,2025-09-01 14:52:57.384000+00:00,2025-09-01 14:52:49.620000+00:00,,,,,,2025-09-02 15:34:39.921000+00:00,False,,,9.AtRisk@WroteCode
3e59230c-1bd8-5a69-be57-4a47b7f2a04b,,,,,,,,,,,2025-09-01 09:35:40.041000+00:00,False,,,0.NoEvent
7e00ba27-6f48-5b30-aea8-5e14eda50870,2025-09-01 18:47:06.646000+00:00,2025-09-01 18:47:06.971000+00:00,2025-09-01 18:53:24.682000+00:00,2025-09-01 18:48:34.183000+00:00,2025-09-01 18:48:03.208000+00:00,,,,,,2025-09-01 19:02:04.677000+00:00,False,,,9.AtRisk@WroteCode
336cabe7-12e7-5da1-bdad-4b63ee910065,2025-09-01 13:52:43.937000+00:00,2025-09-01 13:52:44.217000+00:00,,,,,,,,,2025-09-02 15:13:39.557000+00:00,False,,,2.Exploring
5cc15108-9d05-5771-b783-277b2f432b72,,2025-09-01 04:32:40.462000+00:00,2025-10-16 19:09:25.446000+00:00,2025-10-03 01:33:04.163000+00:00,2025-10-16 19:08:19.272000+00:00,,2025-11-11 19:12:21.773000+00:00,,,,2026-04-15 17:04:29.116000+00:00,False,,,7.Engaged
ce11f432-27ef-5e10-99f5-a094f9d48881,,2025-09-01 19:26:53.543000+00:00,,,,,,,,,2025-09-01 19:35:16.688000+00:00,False,,,2.Exploring
1e86bd25-1841-53d1-be53-190e9161f52b,,2025-09-01 08:36:46.096000+00:00,2025-10-21 07:29:20.977000+00:00,2025-09-01 08:31:42.899000+00:00,2025-09-01 08:31:28.771000+00:00,,,,,,2025-10-25 08:15:40.216000+00:00,False,,,9.AtRisk@WroteCode
f6cfb89e-a715-551a-996c-7393f0548515,2025-09-01 20:52:29.902000+00:00,2025-09-01 20:52:30.084000+00:00,,,,,,,,,2025-09-20 10:07:28.038000+00:00,False,,,2.Exploring
4f3e0194-6513-5363-a6d4-1f92d088e20d,,2025-09-02 21:45:27.159000+00:00,,2025-09-01 17:29:41.429000+00:00,,,,,,,2025-09-10 08:12:54.771000+00:00,False,,,9.AtRisk@UsedAI
5880a9b0-fa89-55d9-96f4-a371ec5813c7,,,,,,,,,,,2025-09-01 06:12:02.321000+00:00,False,,,0.NoEvent
662eacb8-03f5-5856-9771-decf8d8bf1af,,2025-09-11 17:17:30.823000+00:00,,2025-09-11 17:17:37.366000+00:00,,,,,,,2025-09-28 14:56:28.583000+00:00,False,,,9.AtRisk@UsedAI
f0563a4b-d3d8-51b8-8ed9-2672c3b0ff2c,2025-09-01 13:30:04.180000+00:00,2025-11-14 23:09:54.138000+00:00,2025-11-18 06:59:37.967000+00:00,2025-09-01 13:30:42.727000+00:00,,,2025-11-18 06:54:09.558000+00:00,,,,2025-11-18 14:47:24.349000+00:00,False,,,9.AtRisk@Engaged
ea3abe94-86c6-5c97-99e1-5170cd51b4ea,2025-09-01 13:33:30.083000+00:00,2025-09-01 13:33:30.131000+00:00,2025-09-01 13:43:25.384000+00:00,2025-09-01 13:35:04.216000+00:00,2025-09-01 13:34:21.624000+00:00,,,,,,2025-09-24 07:01:58.658000+00:00,False,,,9.AtRisk@WroteCode
03e8dd35-cfab-56ab-940e-b62be276d97b,,2025-09-01 08:25:31.523000+00:00,,,,,,,,,2025-09-08 04:29:15.995000+00:00,False,,,2.Exploring
0976c91d-63f3-5aba-958f-2d8416b4a929,2025-09-01 13:51:56.277000+00:00,2025-09-01 13:51:56.389000+00:00,,2025-09-01 13:53:46.970000+00:00,,,,,,,2025-09-03 17:26:41.652000+00:00,False,,,9.AtRisk@UsedAI
75f87120-74fc-5303-a3cd-7c4340b2ed24,,,,,,,,,,,2025-09-01 16:05:00.965000+00:00,False,,,0.NoEvent
4ba6251b-6bb3-5614-a762-75fc8de7e83a,,,,2025-09-01 15:42:23.677000+00:00,,,,,,,2025-09-01 15:52:51.657000+00:00,False,,,9.AtRisk@UsedAI
4af8c92f-1e70-524e-9996-47d1dad8679c,2025-09-01 08:34:56.776000+00:00,2025-09-01 08:34:56.885000+00:00,,,,,,,,,2025-09-01 09:03:07.720000+00:00,False,,,2.Exploring
a12ce7ad-6d8d-5f53-b7e3-3b2baaf407d9,,2025-09-01 13:42:47.257000+00:00,,2025-09-01 13:45:03.830000+00:00,2025-09-01 13:55:39.773000+00:00,,,,,,2025-09-02 13:57:46.925000+00:00,False,,,9.AtRisk@WroteCode
46db5ed8-924e-5dd2-8727-74a740164409,,2025-09-01 10:38:33.343000+00:00,,2025-09-01 10:38:49.952000+00:00,,,,,,,2026-03-19 20:46:33.765000+00:00,False,,,9.AtRisk@UsedAI
94736a16-de4a-5ce0-87b9-41f8ff4307e1,2025-09-01 18:41:33.989000+00:00,2025-09-01 18:41:34.146000+00:00,,2025-09-01 19:28:04.419000+00:00,2025-09-01 19:28:00.657000+00:00,,,,,,2025-10-08 14:01:03.674000+00:00,False,,,9.AtRisk@WroteCode
460dec4d-53ac-54b0-aef0-189008ef6c0a,,,,,,,,,,,2025-09-03 08:35:52.022000+00:00,False,,,0.NoEvent
a355bdc3-4614-5432-945a-9a9985895e7d,,,,,,,,,,,2025-09-01 03:11:54.636000+00:00,False,,,0.NoEvent
